textid	register	transl-id	status	study	studyear	experience	age	nativelang	gender
review_patio+lawn+garden_6_5	review	12	prof	NA	NA	7	28	RU	f
review_patio+lawn+garden_6_5	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_131_2	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_131_2	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_132_2	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_132_2	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_143_1	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_143_1	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_15_1	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_15_1	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_23_4	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_23_4	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_27_1	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_27_1	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_36_5	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_36_5	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_38_5	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_38_5	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_46_4	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_46_4	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_48_5	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_48_5	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_64_5	review	9	stud	MA	2	2	22	RU	f
review_pet_supplies_64_5	review	17	prof	NA	NA	37	58	RU	f
review_pet_supplies_9_5	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_9_5	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_91_1	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_91_1	review	20	stud	BA	3	1	21	RU	f
review_pet_supplies_98_2	review	12	prof	NA	NA	7	28	RU	f
review_pet_supplies_98_2	review	20	stud	BA	3	1	21	RU	f
review_sports+outdoors_133_1	review	12	prof	NA	NA	7	28	RU	f
review_sports+outdoors_133_1	review	20	stud	BA	3	1	21	RU	f
review_sports+outdoors_137_1	review	12	prof	NA	NA	7	28	RU	f
review_sports+outdoors_137_1	review	20	stud	BA	3	1	21	RU	f
review_sports+outdoors_146_2	review	12	prof	NA	NA	7	28	RU	f
review_sports+outdoors_146_2	review	20	stud	BA	3	1	21	RU	f
review_sports+outdoors_181_1	review	12	prof	NA	NA	7	28	RU	f
review_sports+outdoors_181_1	review	20	stud	BA	3	1	21	RU	f
review_sports+outdoors_2_5	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_2_5	review	1	prof	NA	NA	13	35	RU	f
review_sports+outdoors_209_1	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_209_1	review	1	prof	NA	NA	13	35	RU	f
review_sports+outdoors_22_5	review	1	prof	NA	NA	13	35	RU	f
review_sports+outdoors_22_5	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_29_4	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_29_4	review	1	prof	NA	NA	13	35	RU	f
review_sports+outdoors_3_4	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_3_4	review	1	prof	NA	NA	13	35	RU	f
review_sports+outdoors_36_5	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_36_5	review	1	prof	NA	NA	13	35	RU	f
review_sports+outdoors_40_1	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_40_1	review	1	prof	NA	NA	13	35	RU	f
review_sports+outdoors_43_2	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_43_2	review	1	prof	NA	NA	13	35	RU	f
review_sports+outdoors_5_4	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_5_4	review	1	prof	NA	NA	13	35	RU	f
review_sports+outdoors_6_5	review	8	stud	MA	1	6	23	RU	f
review_sports+outdoors_6_5	review	1	prof	NA	NA	13	35	RU	f
review_toys-and-games_15_5	review	1	prof	NA	NA	13	35	RU	f
review_toys-and-games_15_5	review	8	stud	MA	1	6	23	RU	f
review_toys-and-games_166_1	review	1	prof	NA	NA	13	35	RU	f
review_toys-and-games_166_1	review	8	stud	MA	1	6	23	RU	f
review_toys-and-games_187_1	review	1	prof	NA	NA	13	35	RU	f
review_toys-and-games_187_1	review	8	stud	MA	1	6	23	RU	f
review_toys-and-games_21_5	review	1	prof	NA	NA	13	35	RU	f
review_toys-and-games_21_5	review	8	stud	MA	1	6	23	RU	f
review_toys-and-games_23_5	review	1	prof	NA	NA	13	35	RU	f
review_toys-and-games_23_5	review	8	stud	MA	1	6	23	RU	f
review_toys-and-games_24_5	review	1	prof	NA	NA	13	35	RU	f
review_toys-and-games_24_5	review	8	stud	MA	1	6	23	RU	f
review_toys-and-games_254_2	review	1	prof	NA	NA	13	35	RU	f
review_toys-and-games_254_2	review	8	stud	MA	1	6	23	RU	f
review_toys-and-games_3_5	review	6	prof	NA	NA	9	29	RU	m
review_toys-and-games_3_5	review	19	stud	BA	3	1	21	RU	f
review_toys-and-games_331_1	review	1	prof	NA	NA	13	35	RU	f
review_toys-and-games_331_1	review	8	stud	MA	1	6	23	RU	f
review_toys-and-games_5_4	review	6	prof	NA	NA	9	29	RU	m
review_toys-and-games_5_4	review	19	stud	BA	3	1	21	RU	f
review_toys-and-games_531_2	review	6	prof	NA	NA	9	29	RU	m
review_toys-and-games_531_2	review	19	stud	BA	3	1	21	RU	f
review_toys-and-games_587_1	review	6	prof	NA	NA	9	29	RU	m
review_toys-and-games_587_1	review	19	stud	BA	3	1	21	RU	f
review_toys-and-games_615_2	review	6	prof	NA	NA	9	29	RU	m
review_toys-and-games_615_2	review	19	stud	BA	3	1	21	RU	f
review_toys-and-games_9_4	review	6	prof	NA	NA	9	29	RU	m
review_toys-and-games_9_4	review	19	stud	BA	3	1	21	RU	f
review_video-games_13_5	review	6	prof	NA	NA	9	29	RU	m
review_video-games_13_5	review	19	stud	BA	3	1	21	RU	f
review_video-games_16_5	review	6	prof	NA	NA	9	29	RU	m
review_video-games_16_5	review	19	stud	BA	3	1	21	RU	f
review_video-games_17_5	review	6	prof	NA	NA	9	29	RU	m
review_video-games_17_5	review	19	stud	BA	3	1	21	RU	f
review_video-games_18_2	review	6	prof	NA	NA	9	29	RU	m
review_video-games_18_2	review	19	stud	BA	3	1	21	RU	f
review_video-games_2_5	review	6	prof	NA	NA	9	29	RU	m
review_video-games_2_5	review	19	stud	BA	3	1	21	RU	f
review_video-games_20_1	review	6	prof	NA	NA	9	29	RU	m
review_video-games_20_1	review	19	stud	BA	3	1	21	RU	f
review_video-games_21_4	review	6	prof	NA	NA	9	29	RU	m
review_video-games_21_4	review	19	stud	BA	3	1	21	RU	f
review_video-games_33_5	review	6	prof	NA	NA	9	29	RU	m
review_video-games_33_5	review	19	stud	BA	3	1	21	RU	f
review_video-games_40_1	review	6	prof	NA	NA	9	29	RU	m
review_video-games_40_1	review	19	stud	BA	3	1	21	RU	f
review_video-games_41_1	review	6	prof	NA	NA	9	29	RU	m
review_video-games_41_1	review	19	stud	BA	3	1	21	RU	f
review_video-games_54_1	review	6	prof	NA	NA	9	29	RU	m
review_video-games_54_1	review	19	stud	BA	3	1	21	RU	f
review_video-games_58_1	review	6	prof	NA	NA	9	29	RU	m
review_video-games_58_1	review	19	stud	BA	3	1	21	RU	f
review_video-games_66_1	review	6	prof	NA	NA	9	29	RU	m
review_video-games_66_1	review	19	stud	BA	3	1	21	RU	f
review_video-games_7_5	review	6	prof	NA	NA	9	29	RU	m
review_video-games_7_5	review	19	stud	BA	3	1	21	RU	f
